kanji,id_5th_ed,id_6th_ed,keyword_5th_ed,keyword_6th_ed,components,on_reading,kun_reading,stroke_count,jlpt
幌,410,438,canopy,canopy,towel; limpid; sun; day; ray; small; little; human legs,コウ,ほろ; とばり,13,
錦,411,439,brocade,brocade,metal; gold; napkin; white; dove; towel,キン,にしき,16,N1
市,412,440,market,market,top hat; towel,シ,いち,5,N3
柿,2481,441,persimmon,persimmon,tree; wood; market; top hat; towel,シ,かき; こけら,9,
姉,413,442,elder sister,elder sister,woman; market; top hat; towel,シ,あね; はは,8,N4
肺,414,443,lungs,lungs,moon; month; flesh; part of the body; market; top hat; towel,ハイ,,9,N1
帯,415,444,sash,sash,buckle; apron; crown; towel,タイ,お.びる; おび,10,N2
滞,416,445,stagnate,stagnate,water; water droplets; water pistol; sash; buckle; apron; crown; towel,タイ; テイ,とどこお.る,13,N1
刺,417,446,thorn,thorn,tree; wood; belt; sword; sabre; saber,シ,さ.す; さ.さる; さ.し; さし; とげ,8,N2
制,418,447,system,system,cow; belt; sword; sabre; saber,セイ,,8,N3
製,419,448,made in...,made in...,made in…; system; cow; belt; sword; sabre; saber; hat; scarf; cloth; clothes; clothing; garment,セイ,,14,N1
転,420,449,revolve,revolve,car; rising cloud; two; elbow; wall,テン,ころ.がる; ころ.げる; ころ.がす; ころ.ぶ; まろ.ぶ; うたた; うつ.る; くる.めく,11,N4
芸,421,450,technique,technique,flowers; rising cloud; two; elbow; wall,ゲイ; ウン,う.える; のり; わざ,7,N2
雨,422,451,rain,rain,weather,ウ,あめ; あま-; -さめ,8,N5
雲,423,452,cloud,cloud,rain; weather; rising cloud; two; elbow; wall,ウン,くも; -ぐも,12,N2
曇,424,453,cloudy weather,cloudy weather,sun; day; cloud; rain; weather; rising cloud; two; elbow; wall,ドン,くも.る,16,N2
雷,425,454,thunder,thunder,rain; weather; rice field; brains,ライ,かみなり,13,N1
霜,426,455,frost,frost,rain; weather; inter; Inter Milan; tree; wood; eye,ソウ,しも,17,N1
冬,427,456,winter,winter,walking legs; ice,トウ,ふゆ,5,N4
天,428,457,heavens,heavens,one; ceiling; large,テン,あまつ; あめ; あま-,4,N5
妖,2078,458,bewitched,bewitched,woman; sapling,ヨウ,あや.しい; なま.めく; わざわ.い,7,
沃,2079,459,irrigate,irrigate,water; water droplets; water pistol; sapling,ヨウ; ヨク; オク,そそ.ぐ,7,
橋,429,460,bridge,bridge,tree; wood; angel; heavens; mouth; hood; mouth,キョウ,はし,16,N2
嬌,430,461,attractive,attractive,woman; angel; heavens; mouth; hood; mouth,キョウ,なまめか.しい,15,
立,431,462,stand up,stand up,vase,リツ; リュウ; リットル,た.つ; -た.つ; た.ち-; た.てる; -た.てる; た.て-; たて-; -た.て; -だ.て; -だ.てる,5,N4
泣,432,463,cry,cry,water; water droplets; water pistol; vase; stand up,キュウ,な.く,8,N1
章,433,464,badge,badge,vase; stand up; sunflower; early; sun; day; ten; needle,ショウ,,11,N2
競,434,465,vie,vie,vase; stand up; elder brother; teenager; mouth; human legs,キョウ; ケイ,きそ.う; せ.る,20,N2
帝,435,466,sovereign,sovereign,vase; stand up; apron; crown; towel,テイ,みかど,9,N1
諦,2716,467,give up,renunciation,say; words; keitai; mouth; sovereign; vase; stand up; apron; crown; towel,テイ; タイ,あき.らめる; あきら.める; つまびらか; まこと,16,
童,436,468,juvenile,juvenile,vase; stand up; computer,ドウ,わらべ,12,N2
瞳,437,469,pupil,pupil,eye; juvenile; vase; stand up; computer,ドウ; トウ,ひとみ,17,N1
鐘,438,470,bell,bell,metal; gold; juvenile; vase; stand up; computer,ショウ,かね,20,N1
商,439,471,make a deal,make a deal,vase; stand up; alien; hood; human legs; mouth,ショウ,あきな.う,11,N3
嫡,440,472,legitimate wife,legitimate wife,woman; antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth,チャク; テキ,,14,N1
適,441,473,suitable,suitable,antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth; road,テキ,かな.う,14,N3
滴,442,474,drip,drip,water; water droplets; water pistol; antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth,テキ,しずく; したた.る,14,N2
敵,443,475,enemy,enemy,antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth; taskmaster,テキ,かたき; あだ; かな.う,15,N1
匕,444,476,spoon,spoon,sitting on the ground,ヒ,さじ; さじのひ,2,
叱,2179,477,scold,scold,mouth; diced; seven; spoon; sitting on the ground,シツ; シチ,しか.る,5,
匂,2147,478,aroma,aroma,bound up; spoon; sitting on the ground,,にお.う; にお.い; にお.わせる,4,
頃,2791,479,about that time,about that time,spoon; sitting on the ground; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ケイ; キョウ,ころ; ごろ; しばら.く,11,
北,445,480,north,north,spoon; sitting on the ground,ホク,きた,5,N5
背,446,481,stature,stature,north; spoon; sitting on the ground; moon; month; flesh; part of the body,ハイ,せ; せい; そむ.く; そむ.ける,9,N3
比,447,482,compare,compare,spoon; sitting on the ground,ヒ,くら.べる,4,N2
昆,448,483,descendants,descendants,sun; day; compare; spoon; sitting on the ground,コン,,8,N1
皆,449,484,all,all,compare; spoon; sitting on the ground; white; dove,カイ,みな; みんな,9,N3
楷,3011,485,block letters,block letters,,カイ,,13,
諧,3012,486,orderliness,orderliness,,カイ,かな.う; やわ.らぐ,16,
混,450,487,mix,mix,water; water droplets; water pistol; descendants; sun; day; compare; spoon; sitting on the ground,コン,ま.じる; -ま.じり; ま.ざる; ま.ぜる; こ.む,11,N2
渇,451,488,thirst,thirst,water; water droplets; water pistol; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,カツ,かわ.く,11,N1
謁,452,489,audience,audience,say; words; keitai; mouth; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,エツ,,15,N1
褐,453,490,brown,brown,cloak; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,カツ,,13,N1
喝,454,491,hoarse,hoarse,mouth; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,カツ,,11,N1
葛,2398,492,kudzu,kudzu,flowers; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,カツ; カチ,つづら; くず,11,
旨,455,493,delicious,delicious,spoon; sitting on the ground; sun; day,シ,むね; うま.い,6,N1
脂,456,494,fat,fat,moon; month; flesh; part of the body; delicious; spoon; sun; day,シ,あぶら,10,N2
詣,2715,495,visit a shrine,visit a shrine,say; words; keitai; mouth; delicious; spoon; sitting on the ground; sun; day,ケイ; ゲイ,けい.する; まい.る; いた.る; もう.でる,13,
壱,457,496,I (one),I (one),1 (one); samurai; crown; spoon; sitting on the ground,イチ; イツ,ひとつ,7,N1
毎,458,497,every,every,reclining; lying down; mother,マイ,ごと; -ごと.に,6,N5
敏,459,498,cleverness,cleverness,every; reclining; lying down; mother; breasts; taskmaster,ビン,さとい,10,N1
梅,460,499,plum,plum,tree; wood; every; reclining; lying down; mother; breasts,バイ,うめ,10,N1
海,461,500,sea,sea,water; water droplets; water pistol; every; reclining; lying down; mother; breasts,カイ,うみ,9,N4
乞,462,501,beg,beg,reclining; lying down; fishhook,コツ; キツ; キ; キケ; コチ,こ.う,3,
乾,463,502,drought,drought,mist; ten; needle; early; sun; day; beg; reclining; lying down; fishhook,カン; ケン,かわ.く; かわ.かす; ほ.す; ひ.る; いぬい,11,N2
腹,464,503,abdomen,abdomen,moon; month; flesh; part of the body; fold back; double back; reclining; lying down; sun; day; walking legs,フク,はら,13,N3
複,465,504,duplicate,duplicate,cloak; fold back; double back; reclining; lying down; sun; day; walking legs,フク,,14,N2
欠,466,505,lack,lack,yawn,ケツ; ケン,か.ける; か.く; あくび,4,N3
吹,467,506,blow,blow,mouth; lack; yawn,スイ,ふ.く,7,N3
炊,468,507,cook,cook,fire; lack; yawn,スイ,た.く; -だ.き,8,N1
歌,469,508,song,song,cancan; can; mouth; street; nail; spike; lack; yawn,カ,うた; うた.う,14,N4
軟,470,509,soft,soft,car; lack; yawn,ナン,やわ.らか; やわ.らかい,11,N2
次,471,510,next,next,ice; lack; yawn,ジ; シ,つ.ぐ; つぎ,6,N3
茨,472,511,briar,briar,flowers; next; ice; lack; yawn,シ; ジ,いばら; かや; くさぶき,9,
資,473,512,assets,assets,next; ice; lack; yawn; shellfish; clam; oyster; eye; animal legs; eight,シ,,13,N3
姿,474,513,figure,figure,next; ice; lack; yawn; woman,シ,すがた,9,N1
諮,475,514,consult with,consult with,say; words; keitai; mouth; next; ice; lack; yawn; mouth,シ,はか.る,16,N1
賠,476,515,compensation,compensation,shellfish; clam; oyster; eye; animal legs; eight; muzzle; vase; stand up; mouth,バイ,,15,N1
培,477,516,cultivate,cultivate,soil; dirt; ground; muzzle; vase; stand up; mouth,バイ,つちか.う,11,N1
剖,478,517,divide,divide,muzzle; vase; stand up; mouth; sword; sabre; saber,ボウ,,10,N1
音,479,518,sound,sound,vase; stand up; sun; day; tongue wagging,オン; イン; ノン,おと; ね,9,N4
暗,480,519,darkness,darkness,sun; day; sound; vase; stand up; sun; day,アン,くら.い; くら.む; くれ.る,13,N3
韻,481,520,rhyme,rhyme,sound; vase; stand up; sun; day; employee; mouth; shellfish; clam; oyster; eye; animal legs; eight,イン,,19,N1
識,482,521,discriminating,discriminating,say; words; keitai; mouth; kazoo; sound; vase; stand up; sun; day; fiesta,シキ,し.る; しる.す,19,N3
鏡,483,522,mirror,mirror,metal; gold; vase; stand up; sun; day; human legs,キョウ; ケイ,かがみ,19,N1
境,484,523,boundary,boundary,soil; dirt; ground; mirror; vase; stand up; sun; day; human legs,キョウ; ケイ,さかい,14,N2
亡,485,524,deceased,deceased,perish; top hat; fishhook,ボウ; モウ,な.い; な.き-; ほろ.びる; ほろ.ぶ; ほろ.ぼす,3,N3
盲,486,525,blind,blind,deceased; perish; top hat; fishhook; eye,モウ,めくら,8,N1
妄,487,526,delusion,delusion,deceased; perish; top hat; fishhook; woman,モウ; ボウ,みだ.りに,6,N1
荒,488,527,laid waste,laid waste,wreath; flowers; deceased; perish; top hat; fishhook; stream; flood,コウ,あら.い; あら-; あ.れる; あ.らす; -あ.らし; すさ.む,9,N2
望,489,528,ambition,ambition,deceased; perish; top hat; fishhook; moon; month; flesh; part of the body; king; jewel; ball,ボウ; モウ,のぞ.む; もち,11,N3
方,490,529,direction,direction,compass,ホウ,かた; -かた; -がた,4,N4
妨,491,530,disturb,disturb,compass; direction; woman,ボウ,さまた.げる,7,N1
坊,492,531,boy,boy,soil; dirt; ground; compass; direction,ボウ; ボッ,,7,
芳,493,532,perfumed,perfumed,perfume; flowers; compass; direction,ホウ,かんば.しい,7,N1
肪,494,533,obese,obese,moon; month; flesh; part of the body; compass; direction,ボウ,,8,N1
訪,495,534,call on,call on,say; words; keitai; mouth; compass; direction,ホウ,おとず.れる; たず.ねる; と.う,11,N3
放,496,535,set free,set free,compass; direction; taskmaster,ホウ,はな.す; -っぱな.し; はな.つ; はな.れる; こ.く; ほう.る,8,N3
激,497,536,violent,violent,water; water droplets; water pistol; white; dove; compass; direction; taskmaster,ゲキ,はげ.しい,16,N1
脱,498,537,undress,undress,moon; month; flesh; part of the body; devil; horns; elder brother; teenager; mouth; human legs,ダツ,ぬ.ぐ; ぬ.げる,11,N1
説,499,538,rumor / explanation,explanation,rumor; say; words; keitai; mouth; devil; horns; elder brother; teenager; mouth; human legs,セツ; ゼイ,と.く,14,N3
鋭,500,539,pointed,pointed,metal; gold; devil; horns; elder brother; teenager; mouth; human legs,エイ,するど.い,15,N2
曽,501,540,formerly,formerly,increase; horns; rice field; brains; sun; day,ソウ; ソ; ゾウ,かつ; かつて; すなわち,11,
増,502,541,increase,increase,soil; dirt; ground; formerly; horns; rice field; brains; sun; day,ゾウ,ま.す; ま.し; ふ.える; ふ.やす,14,N3
贈,503,542,presents,presents,shellfish; clam; oyster; eye; animal legs; eight; increase; formerly; horns; rice field; brains; sun; day,ゾウ; ソウ,おく.る,18,N2
東,504,543,east,east,sun; day; tree; wood,トウ,ひがし,8,N5
棟,505,544,ridgepole,ridgepole,tree; wood; east; tree; wood; sun; day,トウ,むね; むな-,12,N1
凍,506,545,frozen,frozen,ice; east; tree; wood; sun; day,トウ,こお.る; こご.える; こご.る; い.てる; し.みる,10,N2
妊,507,546,pregnancy,pregnancy,woman; porter; drop; samurai,ニン; ジン,はら.む; みごも.る,7,N1
廷,508,547,courts,courts,porter; drop; samurai; stretch,テイ,,7,N1
染,509,548,dye,dye,water; water droplets; water pistol; nine; baseball; tree; wood,セン,そ.める; -ぞ.め; -ぞめ; そ.まる; し.みる; -じ.みる; し.み; -し.める,9,N1
燃,510,549,burn,burn,fire; sort of thing; moon; crescent moon; month; flesh; part of the body; chihuahua; dog; large; drop; oven-fire; barbecue,ネン,も.える; も.やす; も.す,16,N2
賓,511,550,V.I.P.,V.I.P.,house; one; ceiling; few; shellfish; clam; oyster; eye; animal legs; eight,ヒン,,15,N1
歳,512,551,year-end,year-end,year end; stop; footprint; one; little; small; march,サイ; セイ,とし; とせ; よわい,13,N3
県,513,552,prefecture,prefecture,eye; fishhook; small; little,ケン,か.ける,9,N2
栃,514,553,horse chestnut,horse chestnut,tree; wood; Wimbledon; cliff; ten thousand; one; bound up,,とち,9,
地,515,554,ground,ground,soil; dirt; scorpion,チ; ジ,,6,N4
池,516,555,pond,pond,water; water droplets; water pistol; scorpion,チ,いけ,6,N2
虫,517,556,insect,insect,in; stick; mouth,チュウ; キ,むし,6,N2
蛍,518,557,lightning bug,lightning bug,lightning-bug; schoolhouse; owl; crown; insect,ケイ,ほたる,11,N1
蛇,519,558,snake,snake,insect; wind chimes; house; spoon; sitting on the ground,ジャ; ダ; イ; ヤ,へび,11,N1
虹,520,559,rainbow,rainbow,insect; craft,コウ,にじ,9,N1
蝶,521,560,butterfly,butterfly,insect; Tarzan; generation; tree; wood,チョウ,,15,N1
独,522,561,single,single,pack of wild dogs; insect,ドク; トク,ひと.り,9,N1
蚕,523,562,silkworm,silkworm,heavens; insect,サン; テン,かいこ; こ,10,N1
風,524,563,wind,wind,gnats; drop; insect,フウ; フ,かぜ; かざ-; -かぜ,9,N4
己,525,564,self,self,snake,コ; キ,おのれ; つちのと; な,3,N1
起,526,565,rouse,rouse,run; soil; dirt; ground; mend; snake; self,キ,お.きる; お.こる; お.こす; おこ.す; た.つ,10,N4
妃,527,566,queen,queen,woman; snake; self,ヒ,きさき,6,N1
改,528,567,reformation,reformation,snake; self; taskmaster,カイ,あらた.める; あらた.まる,7,N2
記,529,568,scribe,scribe,say; words; keitai; mouth; snake; self,キ,しる.す,10,N3
包,530,569,wrap,wrap,bound up; snake; self,ホウ,つつ.む; くる.む,5,N2
胞,531,570,placenta,placenta,moon; month; flesh; part of the body; wrap; bound up; snake; self,ホウ,,9,N1
砲,532,571,cannon,cannon,stone; rock; wrap; bound up; snake; self,ホウ,,10,N1
泡,533,572,bubbles,bubble,water; water droplets; water pistol; wrap; bound up; snake; self,ホウ,あわ,8,N1
亀,534,573,tortoise,tortoise,bound up; eels; sun; day,キ; キュウ; キン,かめ,11,N1
電,535,574,electricity,electricity,rain; weather; eel; sun; day,デン,,13,N5
竜,536,575,dragon,dragon,vase; stand up; eel; sun; day,リュウ; リョウ; ロウ,たつ; いせ,10,N1
滝,537,576,waterfall,waterfall,water; water droplets; water pistol; dragon; vase; stand up; eel; sun; day,ロウ; ソウ,たき,13,N1
豚,538,577,pork,pork,moon; month; flesh; part of the body; sow; pig,トン,ぶた,11,N1
逐,539,578,pursue,pursue,sow; pig; road,チク,,10,N1
遂,540,579,consummate,consummate,horns; sow; pig; road,スイ,と.げる; つい.に,12,N1
家,541,580,house,house,sow; pig,カ; ケ,いえ; や; うち,10,N4
嫁,542,581,marry into,marry into,woman; house; sow; pig,カ,よめ; とつ.ぐ; い.く; ゆ.く,13,N1
豪,543,582,overpowering,overpowering,tall; top hat; mouth; crown; sow; pig,ゴウ,えら.い,14,N1
腸,544,583,intestines,intestines,moon; month; flesh; part of the body; piggy bank; sun; day; piglets,チョウ,はらわた,13,N1
場,545,584,location,location,soil; dirt; ground; piggy bank; sun; day; piglets,ジョウ; チョウ,ば,12,N4
湯,546,585,hot water,hot water,water; water droplets; water pistol; piggy bank; sun; day; piglets,トウ,ゆ,12,N2
羊,547,586,sheep,sheep,horns,ヨウ,ひつじ,6,N1
美,548,587,beauty,beauty,sheep; large; St. Bernard,ビ; ミ,うつく.しい,9,N3
洋,549,588,ocean,ocean,water; water droplets; water pistol; sheep,ヨウ,,9,N4
詳,550,589,detailed,detailed,say; words; keitai; mouth; sheep,ショウ,くわ.しい; つまび.らか,13,N1
鮮,551,590,fresh,fresh,fish; bound up; rice field; brains; oven-fire; barbecue; sheep,セン,あざ.やか,17,N1
達,552,591,accomplished,accomplished,soil; dirt; ground; sheep; road,タツ; ダ,-たち,12,N3
羨,553,592,envious,envious,sheep; water; water droplets; water pistol; lack; yawn,セン; エン,うらや.む; あまり,13,
差,554,593,distinction,distinction,wool; sheep; craft,サ,さ.す; さ.し,10,N3
着,555,594,don,don,wool; sheep; eye,チャク; ジャク,き.る; -ぎ; き.せる; -き.せ; つ.く; つ.ける,12,N4
唯,556,595,solely,solely,mouth; turkey,ユイ; イ,ただ,11,N1
堆,2185,596,piled high,piled high,soil; dirt; ground; turkey,タイ; ツイ,うずたか.い,11,
椎,2505,597,sweet oak,sweet oak,tree; wood; turkey,ツイ; スイ,つち; う.つ,12,N1
誰,2712,598,who?,who?,who; say; words; keitai; mouth; turkey,スイ,だれ; たれ; た,15,
焦,557,599,char,char,turkey; oven-fire; barbecue,ショウ,こ.げる; こ.がす; こ.がれる; あせ.る,12,N1
礁,558,600,reef,reef,stone; rock; char; turkey; oven-fire; barbecue,ショウ,,17,N1
集,559,601,gather,gather,turkey; tree; wood,シュウ,あつ.まる; あつ.める; つど.う,12,N4
准,560,602,quasi-,quasi-,ice; turkey,ジュン,,10,N1
進,561,603,advance,advance,turkey; road,シン,すす.む; すす.める,11,N3
雑,562,604,miscellaneous,miscellaneous,nine; baseball; tree; wood; turkey,ザツ; ゾウ,まじ.える; まじ.る,14,N3
雌,563,605,feminine,female,Prince; this here; stop; footprint; spoon; sitting on the ground; turkey,シ,め-; めす; めん,14,N1
準,564,606,semi-,semi-,water; water droplets; water pistol; turkey; ten; needle,ジュン,じゅん.じる; じゅん.ずる; なぞら.える; のり; ひと.しい; みずもり,13,N2
奮,565,607,stirred up,stirred up,large; St. Bernard; turkey; rice field; brains,フン,ふる.う,16,N1
奪,566,608,rob,rob,large; St. Bernard; turkey; glue,ダツ,うば.う,14,N1
確,567,609,assurance,assurance,stone; rock; turkeyhouse; house; turkey,カク; コウ,たし.か; たし.かめる,15,N3
午,568,610,noon,noon,horse; pantomime horse; sign of the horse,ゴ,うま,4,N5
許,569,611,permit,permit,say; words; keitai; mouth; horse; pantomime horse; noon; sign of the horse,キョ,ゆる.す; もと,11,N3
歓,570,612,delight,delight,pegasus; horse; pantomime horse; noon; sign of the horse; turkey; lack; yawn,カン,よろこ.ぶ,15,N1
権,571,613,authority,authority,tree; wood; pegasus; horse; pantomime horse; noon; sign of the horse; turkey,ケン; ゴン,おもり; かり; はか.る,15,N3
観,572,614,outlook,outlook,pegasus; horse; pantomime horse; noon; sign of the horse; turkey; see; telescope; eye; human legs,カン,み.る; しめ.す,18,N3
羽,573,615,feathers,feathers,wings,ウ,は; わ; はね,6,N2
習,574,616,learn,learn,feathers; wings; white; dove,シュウ; ジュ,なら.う; なら.い,11,N4
翌,575,617,the following,the following,feathers; wings; vase; stand up,ヨク,,11,N2
曜,576,618,weekday,weekday,sun; day; futon; feathers; wings; turkey,ヨウ,,18,N4
濯,577,619,laundry,laundry,water; water droplets; water pistol; futon; feathers; wings; turkey,タク,すす.ぐ; ゆす.ぐ,17,N2
曰,578,620,sayeth,sayeth,pent in; one,エツ,いわ.く; のたま.う; のたま.わく; ここに; ひらび,4,
困,579,621,quandary,quandary,pent in; tree; wood,コン,こま.る,7,N3
固,580,622,harden,harden,pent in; old; tombstone; gravestone; church; ten; needle; mouth,コ,かた.める; かた.まる; かた.まり; かた.い,8,N2
錮,3013,623,weld,weld,,コ,ふさ.ぐ,16,
国,581,624,country,country,pent in; king; jewel; ball; earring; drop,コク,くに,8,N5
団,582,625,group,group,pent in; glue,ダン; トン,かたまり; まる.い,6,N2
因,583,626,cause,cause,pent in; large; St. Bernard,イン,よ.る; ちな.む,6,N3
姻,584,627,matrimony,matrimony,woman; cause; pent in; large; St. Bernard,イン,,9,N1
咽,2159,628,windpipe,windpipe,mouth; cause; pent in; large; St. Bernard,イン; エン; エツ,むせ.ぶ; むせ.る; のど; の.む,9,
園,585,629,park,park,pent in; earthenware jar; lidded crock; soil; dirt; ground; mouth; scarf,エン,その,13,N3
回,586,630,-times,-times,times; pent in; mouth,カイ; エ,まわ.る; -まわ.る; -まわ.り; まわ.す; -まわ.す; まわ.し-; -まわ.し; もとお.る; か.える,6,N3
壇,587,631,podium,podium,soil; dirt; ground; Churchill; top hat; -times; pent in; mouth; nightbreak; sun; day; one; floor,ダン; タン,,16,N1
店,588,632,store,store,cave; fortune-telling; magic wand; augury; mouth,テン,みせ; たな,8,N4
庫,589,633,warehouse,warehouse,cave; car,コ; ク,くら,10,N2
庭,590,634,courtyard,courtyard,cave; courts; porter; drop; samurai; stretch,テイ,にわ,10,N3
庁,591,635,government office,government office,cave; street; nail; spike,チョウ; テイ,やくしょ,5,N2
床,592,636,bed,bed,cave; tree; wood,ショウ,とこ; ゆか,7,N2
麻,593,637,hemp,hemp,cave; grove; tree; wood,マ; マア,あさ,11,N1
磨,594,638,grind,grind,hemp; cave; grove; tree; wood; stone; rock,マ,みが.く; す.る,16,N2
心,595,639,heart,heart,drops; fishhook,シン,こころ; -ごころ; りっしんべん,4,N4
忘,596,640,forget,forget,perish; deceased; top hat; fishhook; heart,ボウ,わす.れる,7,N3
恣,3014,641,selfish,selfish,,シ,ほしいまま,10,
忍,597,642,endure,endure,blade; sword; dagger; drop; heart,ニン,しの.ぶ; しの.ばせる,7,N1
認,598,643,acknowledge,acknowledge,say; words; keitai; mouth; endure; blade; sword; dagger; drop; heart,ニン,みと.める; したた.める,14,N3
忌,599,644,mourning,mourning,snake; self; heart,キ,い.む; い.み; い.まわしい,7,N1
志,600,645,intention,intention,samurai; heart,シ; シリング,こころざ.す; こころざし,7,N1
誌,601,646,document,document,say; words; keitai; mouth; intention; samurai; heart,シ,,14,N2
芯,2368,647,wick,wick,flowers; heart,シン,,7,
忠,602,648,loyalty,loyalty,in; stick; mouth; heart,チュウ,,8,N1
串,603,649,shish kebab,shish kebab,kebab; in; stick; mouth,カン; ケン; セン,くし; つらぬ.く,7,
患,604,650,afflicted,afflicted,kebab; in; stick; mouth; heart,カン,わずら.う,11,N2
思,605,651,think,think,rice field; brains; heart,シ,おも.う; おもえら.く; おぼ.す,9,N4
恩,606,652,grace,grace,cause; pent in; large; St. Bernard; heart,オン,,10,N1
応,607,653,apply,apply,cave; heart,オウ; ヨウ; ノウ,あた.る; まさに; こた.える,7,N1
意,608,654,idea,idea,sound; vase; stand up; sun; day; heart,イ,,13,N4
臆,2460,655,cowardice,cowardice,moon; month; flesh; part of the body; idea; sound; vase; stand up; sun; day; heart,オク; ヨク,むね; おくする,17,
想,609,656,concept,concept,inter milan; inter; tree; wood; eye; heart,ソウ; ソ,おも.う,13,N3
息,610,657,breath,breath,nose; drop; eye; heart,ソク,いき,10,N3
憩,611,658,recess,recess,tongue; thousand; mouth; nose; drop; eye; heart,ケイ,いこ.い; いこ.う,16,N1
恵,612,659,favor,favor,ten; needle; rice field; brains; heart,ケイ; エ,めぐ.む; めぐ.み,10,N1
恐,613,660,fear,fear,barge; craft; mediocre; drop; wind; heart,キョウ,おそ.れる; おそ.る; おそ.ろしい; こわ.い; こわ.がる,10,N3
惑,614,661,beguile,beguile,a; pope; fiesta; mouth; one; floor; heart,ワク,まど.う,12,N1
感,615,662,emotion,emotion,march; mouth; heart,カン,,13,N3
憂,616,663,melancholy,melancholy,summer; head; page; crown; heart; walking legs,ユウ,うれ.える; うれ.い; う.い; う.き,15,N1
寡,617,664,widow,widow,house; head; page; animal legs; eight; sword; dagger,カ,,14,N1
忙,618,665,busy,busy,Freud; state of mind; deceased; perish; top hat; fishhook,ボウ; モウ,いそが.しい; せわ.しい; おそ.れる; うれえるさま,6,N3
悦,619,666,ecstasy,ecstasy,Freud; state of mind; devil; horns; elder brother; teenager; mouth; human legs,エツ,よろこ.ぶ; よろこ.ばす,10,N1
恒,620,667,constancy,constancy,Freud; state of mind; span; one; ceiling; sun; day; one; floor; one,コウ,つね; つねに,9,N1
悼,621,668,lament,lament,Freud; state of mind; eminent; magic wand; augury; sun; day; ten; needle,トウ,いた.む,11,N1
悟,622,669,enlightenment,enlightenment,Freud; state of mind; I; five; mouth,ゴ,さと.る,10,N1
怖,623,670,dreadful,dreadful,Freud; state of mind; linen; by one’s side; towel,フ; ホ,こわ.い; こわ.がる; お.じる; おそ.れる,8,N3
慌,624,671,disconcerted,disconcerted,Freud; state of mind; laid waste; wreath; flowers; deceased; perish; top hat; fishhook; stream; flood,コウ,あわ.てる; あわ.ただしい,12,
悔,625,672,repent,repent,Freud; state of mind; every; reclining; lying down; mother; breasts,カイ,く.いる; く.やむ; くや.しい,9,N1
憎,626,673,hate,hate,Freud; state of mind; increase; formerly; horns; rice field; brains; sun; day,ゾウ,にく.む; にく.い; にく.らしい; にく.しみ,14,N2
慣,627,674,accustomed,accustomed,Freud; state of mind; pierce; mother; breasts; shellfish; clam; oyster; eye; animal legs; eight,カン,な.れる; な.らす,14,N3
愉,628,675,pleasure,pleasure,Freud; state of mind; meeting; umbrella; butchers; moon; month; flesh; part of the body; sword; sabre; saber,ユ,たの.しい; たの.しむ,12,N1
惰,629,676,lazy,lazy,Freud; state of mind; left-handed; left; by one’s side; craft; moon; month; flesh; part of the body,ダ,,12,N1
慎,630,677,humility,humility,Freud; state of mind; true; truth; ten; needle; eye; tool; animal legs; eight,シン,つつし.む; つつし; つつし.み,13,N1
憾,631,678,remorse,remorse,Freud; state of mind; emotion; march; mouth; heart,カン,うら.む,16,N1
憶,632,679,recollection,recollection,Freud; state of mind; idea; sound; vase; stand up; sun; day; heart,オク,,16,N1
惧,3015,680,disquieting,disquieting,,ク,おそ.れる,11,
憧,2280,681,yearn,yearn,Freud; state of mind; juvenile; vase; stand up; computer,ショウ; トウ; ドウ,あこが.れる,15,N1
憬,3016,682,hanker,hanker,,ケイ,あこが.れる,15,
慕,633,683,pining,pining,graveyard; flowers; sun; day; large; St. Bernard; valentine,ボ,した.う,14,N1
添,634,684,annexed,annexed,water; water droplets; water pistol; heavens; valentine,テン,そ.える; そ.う; も.える; も.う,11,N1
必,635,685,invariably,invariably,heart; stick; drop; fishhook,ヒツ,かなら.ず,5,N3
泌,636,686,ooze,ooze,water; water droplets; water pistol; invariably; heart; stick; drop; fishhook,ヒツ; ヒ,,8,N1
手,637,687,hand,hand,,シュ; ズ,て; て-; -て; た-,4,N4
看,638,688,watch over,watch over,hand; eye,カン,み.る,9,N1
摩,639,689,chafe,chafe,hemp; cave; grove; tree; wood; hand,マ,ま.する; さ.する; す.る,15,N1
我,640,690,ego,ego,hand; fiesta,ガ,われ; わ; わ.が-; わが-,7,N1
義,641,691,righteousness,righteousness,sheep; ego; hand; fiesta,ギ,,13,N1
議,642,692,deliberation,deliberation,say; words; keitai; mouth; righteousness; sheep; ego; hand; fiesta,ギ,,20,N3
